能源別,機組別,機組容量,13:50,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50
核能,核二#2,985.0,965.2,965.2,962.5,961.2,959.8,962.5,961.2,962.5,963.8,963.8,962.5,963.8,963.8,965.2
,,, , , , , , , , , , , , , , 
核能,核三#1,951.0,937.0,937.0,938.1,937.0,937.0,937.0,935.8,937.0,937.0,937.0,937.0,937.0,937.0,937.0
,,, , , , , , , , , , , , , , 
核能,核三#2,951.0,935.8,935.8,935.8,934.7,934.7,933.5,933.5,934.7,933.5,933.5,933.5,933.5,933.5,933.5
,,, , , , , , , , , , , , , , 
燃煤,林口#1,800.0,751.8,751.8,752.9,757.7,755.2,758.1,758.3,757.0,756.5,755.7,753.5,751.3,750.9,752.3
,,, , , , , , , , , , , , , , 
燃煤,林口#2,800.0,754.8,754.8,755.2,761.3,758.7,761.8,762.1,758.1,756.4,758.7,757.6,755.6,757.7,756.8
,,, , , , , , , , , , , , , , 
燃煤,林口#3,800.0,748.7,748.7,750.8,756.0,751.7,751.7,752.9,749.2,749.1,754.5,752.6,751.7,755.0,753.0
,,, , , , , , , , , , , , , , 
燃煤,台中#1,550.0,267.9,267.9,272.6,280.6,276.7,274.3,277.6,277.0,265.9,290.5,267.9,273.2,282.2,307.6
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#2,550.0,496.1,496.1,495.6,517.1,517.2,517.2,517.1,516.1,516.2,515.9,515.8,515.9,516.1,516.4
,,,運轉限制,運轉限制,運轉限制, , , , , , , , , , , 
燃煤,台中#3,550.0,498.3,498.3,497.5,499.9,493.3,494.2,495.6,494.9,495.1,496.7,493.8,494.7,491.3,496.2
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#4,550.0,510.7,510.7,506.8,513.2,513.8,512.1,519.9,513.4,509.5,514.6,507.5,512.7,509.8,515.3
,,,運轉限制,運轉限制,運轉限制,運轉限制, , , , , , , , , , 
