能源別,機組別,機組容量,09:50,10:00,10:10,10:20,10:30,11:10,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:50,13:00,13:40,13:50,14:00,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20
核能,核二#2,985.0,958.5,955.8,957.1,955.8,955.8,916.9,916.9,916.9,914.3,912.9,914.3,912.9,912.9,916.9,915.6,951.8,953.1,955.8,955.8,954.5,955.8,955.8,955.8,958.5,958.5,958.5,958.5,957.1,957.1,955.8,958.5,955.8,957.1
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
核能,核三#1,951.0,937.0,935.8,935.8,934.7,934.7,934.7,934.7,934.7,934.7,935.8,935.8,935.8,934.7,934.7,934.7,934.7,934.7,935.8,937.0,939.2,940.4,940.4,939.2,937.0,935.8,935.8,933.5,933.5,933.5,933.5,933.5,931.3,933.5
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
核能,核三#2,951.0,933.5,933.5,931.3,931.3,932.4,931.3,931.3,932.4,931.3,932.4,932.4,933.5,931.3,932.4,931.3,932.4,933.5,933.5,932.4,933.5,934.7,937.0,934.7,934.7,932.4,932.4,931.3,930.1,930.1,930.1,931.3,929.0,929.0
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,林口#1,800.0,753.5,750.9,754.0,753.2,757.7,758.8,758.8,757.4,757.8,758.3,758.5,754.7,759.1,753.2,754.2,755.2,754.5,754.0,753.2,755.1,755.4,749.8,755.1,753.0,754.4,756.4,758.2,755.8,750.7,752.4,751.1,754.9,756.6
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,林口#2,800.0,752.9,752.1,751.6,746.7,750.7,753.0,753.0,753.5,755.2,753.9,756.6,753.9,756.9,752.0,755.6,755.7,757.1,756.8,756.3,757.1,760.0,755.0,759.6,759.3,757.0,759.4,760.1,758.2,755.1,758.4,757.3,754.2,754.1
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,林口#3,800.0,758.5,757.3,756.4,757.6,758.0,754.6,754.6,751.9,752.7,752.6,752.4,747.8,751.2,746.6,751.1,750.1,753.2,749.1,751.4,749.7,753.4,743.6,746.2,744.4,741.3,749.6,752.8,755.0,753.5,757.3,755.0,757.0,754.4
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#1,550.0,504.4,508.2,504.3,503.5,503.6,502.9,502.9,502.7,506.0,503.6,508.5,503.5,498.9,502.1,506.7,506.5,502.8,510.9,501.0,502.5,506.5,497.2,496.6,509.0,498.7,497.8,500.3,502.8,501.8,506.4,503.2,506.4,505.7
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#2,550.0,517.6,517.3,517.0,517.4,517.5,517.5,517.5,517.4,517.5,517.3,517.6,517.7,517.5,517.3,517.6,517.4,517.5,517.1,517.0,517.1,517.1,516.5,516.5,516.9,516.9,517.1,517.2,517.3,517.2,517.2,517.1,516.9,517.2
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#3,550.0,504.5,505.8,497.8,485.6,496.7,497.3,497.3,504.4,503.1,504.5,504.4,497.4,494.4,502.5,498.9,499.8,495.2,503.0,498.1,500.4,498.1,497.7,500.8,500.5,498.2,502.8,504.4,504.6,502.1,499.9,499.1,503.0,506.9
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#4,550.0,512.5,508.6,514.7,505.1,519.7,514.7,514.7,508.3,510.1,510.0,506.9,509.0,514.5,507.5,508.2,510.6,510.6,514.4,511.6,512.7,515.0,509.3,512.5,509.3,507.3,513.6,512.8,516.8,512.8,509.7,509.6,511.2,511.1
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#5,550.0,530.9,530.8,527.0,530.3,528.7,530.6,530.6,531.3,528.8,529.5,531.2,529.4,528.0,533.4,532.6,527.9,528.0,529.6,530.4,528.8,529.5,529.1,530.7,528.2,530.0,529.8,530.0,529.0,530.4,529.9,531.6,532.9,529.8
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#6,550.0,534.4,534.5,534.5,532.2,537.7,535.2,535.2,534.5,535.1,533.7,535.9,533.6,534.4,535.1,533.7,532.9,533.7,536.9,534.5,535.2,533.8,534.6,534.6,535.2,534.6,529.9,529.2,534.6,534.6,529.9,534.4,532.0,533.6
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#7,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修,歲修
燃煤,台中#8,550.0,530.2,531.6,533.3,527.7,530.1,531.6,531.6,530.6,529.9,529.9,529.9,530.6,530.6,531.4,531.5,529.1,532.3,529.2,530.6,530.7,532.4,530.1,530.7,529.9,531.5,530.7,530.7,528.4,531.6,529.3,531.7,530.3,532.6
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#9,550.0,491.2,485.3,487.1,487.8,488.7,486.2,486.2,488.2,490.3,488.3,487.6,485.4,490.9,491.8,487.5,488.9,489.0,485.7,489.1,489.2,484.5,486.4,490.5,489.2,485.7,489.8,485.2,484.2,490.2,487.8,486.9,487.6,490.2
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#10,550.0,522.0,521.3,522.7,519.3,524.7,520.5,520.5,520.5,524.5,524.5,523.9,525.9,522.5,529.3,525.2,521.8,520.5,511.6,522.5,518.4,519.8,517.7,521.8,522.5,523.2,525.2,521.1,530.0,520.0,526.1,520.6,519.9,520.6
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
