能源別,機組別,機組容量,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:30,15:30,15:30,15:40,15:40,15:50,16:00,16:10,16:20,16:30,16:40
核能,核二#2,985.0,475.9,474.6,475.9,475.9,475.9,477.3,478.6,478.6,478.6,480.0,481.3,481.3,481.3,481.3,482.6,484.0,484.0,486.7,488.0,489.3,488.0,490.7,492.0,492.0,492.0,494.7,494.7,494.7,497.4,497.4,497.4,497.4,498.7,501.4,500.1,504.1
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
核能,核三#1,951.0,935.8,935.8,935.8,935.8,934.7,937.0,935.8,935.8,934.7,934.7,934.7,937.0,937.0,937.0,935.8,940.4,940.4,941.5,941.5,941.5,942.6,942.6,941.5,942.6,942.6,944.9,944.9,944.9,944.9,944.9,943.8,944.9,946.1,944.9,943.8,944.9
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
核能,核三#2,951.0,933.5,933.5,933.5,933.5,931.3,933.5,932.4,932.4,930.1,931.3,931.3,933.5,931.3,934.7,931.3,933.5,933.5,937.0,937.0,938.1,938.1,938.1,938.1,938.1,938.1,940.4,940.4,940.4,940.4,940.4,938.1,940.4,941.5,941.5,941.5,941.5
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,林口#1,800.0,755.8,757.5,754.0,758.0,761.0,755.6,758.1,758.9,759.6,756.7,753.9,753.8,754.7,753.3,753.3,752.8,752.8,752.7,753.6,753.2,752.8,754.7,753.7,756.1,756.9,757.1,757.1,757.1,752.7,752.7,755.9,754.4,754.9,756.9,753.7,756.3
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,林口#2,800.0,757.8,760.0,759.3,758.1,758.9,752.1,758.6,759.2,759.5,759.2,758.8,757.6,763.3,756.6,756.4,759.2,759.2,754.9,755.4,753.2,753.4,755.9,755.3,753.8,754.4,757.3,757.3,757.3,752.6,752.6,756.2,754.6,756.9,758.1,757.3,757.1
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,林口#3,800.0,750.0,753.7,749.8,753.1,753.0,749.5,750.6,749.6,750.3,752.1,749.3,753.1,753.4,751.7,748.8,748.6,748.6,748.4,749.7,753.3,747.3,749.3,749.3,749.2,752.7,754.3,754.3,754.3,748.0,748.0,752.7,748.8,751.6,753.6,751.5,752.0
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#1,550.0,489.4,492.7,495.7,494.2,491.3,493.7,494.3,504.0,502.4,501.7,507.7,506.2,503.3,502.4,501.4,498.1,498.1,500.5,499.5,507.7,499.3,502.4,498.3,502.4,500.0,504.8,504.8,504.8,498.4,498.4,507.9,499.9,499.9,504.8,502.9,500.6
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#2,550.0,154.1,158.0,132.9,101.8,89.0,68.8,42.1,161.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障,故障
燃煤,台中#3,550.0,496.0,501.4,496.7,503.0,500.6,499.8,500.6,500.6,501.1,501.5,501.3,505.1,506.1,501.3,502.0,499.6,499.6,501.8,501.0,500.1,501.0,502.5,497.7,503.2,500.6,501.3,501.3,501.3,502.8,502.8,503.9,502.1,503.7,496.0,493.5,502.3
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#4,550.0,481.3,485.3,480.6,482.7,486.4,480.3,478.7,481.9,480.6,487.7,483.0,486.0,485.1,481.9,484.1,481.7,481.7,484.8,485.6,488.1,472.7,425.7,391.2,436.1,463.7,533.6,533.6,533.6,520.1,520.1,518.7,511.4,511.2,513.1,512.0,509.2
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#5,550.0,526.8,523.6,526.0,528.5,525.4,528.6,531.6,534.6,532.9,531.1,530.7,530.7,530.9,530.8,529.9,533.8,533.8,529.8,530.7,532.1,533.3,533.4,532.5,528.2,529.6,532.1,532.1,532.1,532.2,532.2,531.3,530.4,531.1,534.3,528.9,531.3
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#6,550.0,536.4,537.3,534.9,535.6,534.2,534.1,534.2,533.4,534.9,534.1,538.7,534.9,534.3,536.5,533.3,536.3,536.3,534.8,533.3,535.5,534.7,534.7,536.3,531.6,534.8,533.2,533.2,533.2,533.1,533.1,533.2,534.0,534.0,534.7,535.5,535.5
,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
燃煤,台中#7,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
