能源別,機組別,機組容量,15:20,15:30,15:40,15:50,16:00,16:10,16:20
核能,核二#2,985.0,958.5,957.1,957.1,955.8,958.5,955.8,957.1
,,, , , , , , , 
核能,核三#1,951.0,933.5,933.5,933.5,933.5,933.5,931.3,933.5
,,, , , , , , , 
核能,核三#2,951.0,931.3,930.1,930.1,930.1,931.3,929.0,929.0
,,, , , , , , , 
燃煤,林口#1,800.0,758.2,755.8,750.7,752.4,751.1,754.9,756.6
,,, , , , , , , 
燃煤,林口#2,800.0,760.1,758.2,755.1,758.4,757.3,754.2,754.1
,,, , , , , , , 
燃煤,林口#3,800.0,752.8,755.0,753.5,757.3,755.0,757.0,754.4
,,, , , , , , , 
燃煤,台中#1,550.0,500.3,502.8,501.8,506.4,503.2,506.4,505.7
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#2,550.0,517.2,517.3,517.2,517.2,517.1,516.9,517.2
,,, , , , , , , 
燃煤,台中#3,550.0,504.4,504.6,502.1,499.9,499.1,503.0,506.9
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#4,550.0,512.8,516.8,512.8,509.7,509.6,511.2,511.1
,,, , , , , , , 
燃煤,台中#5,550.0,530.0,529.0,530.4,529.9,531.6,532.9,529.8
,,, , , , , , , 
燃煤,台中#6,550.0,529.2,534.6,534.6,529.9,534.4,532.0,533.6
,,, , , , , , , 
燃煤,台中#7,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,歲修,歲修,歲修,歲修,歲修,歲修,歲修
燃煤,台中#8,550.0,530.7,528.4,531.6,529.3,531.7,530.3,532.6
,,, , , , , , , 
燃煤,台中#9,550.0,485.2,484.2,490.2,487.8,486.9,487.6,490.2
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,台中#10,550.0,521.1,530.0,520.0,526.1,520.6,519.9,520.6
,,,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制,運轉限制
燃煤,興達#1,500.0,487.2,480.9,475.2,480.9,478.4,472.7,479.0
,,, , , , , , , 
燃煤,興達#2,500.0,475.2,474.0,478.4,472.7,470.2,468.9,474.0
,,, , , , , , , 
燃煤,興達#3,550.0,523.7,526.0,519.8,518.3,520.6,522.1,519.1
,,, , , , , , , 
燃煤,興達#4,550.0,517.8,522.5,521.7,520.2,517.8,518.6,519.4
,,, , , , , , , 
燃煤,大林#1,800.0,754.6,754.6,755.5,758.6,756.2,753.1,757.0
,,, , , , , , , 
燃煤,大林#2,800.0,744.4,746.8,747.4,749.0,745.9,745.9,745.9
,,, , , , , , , 
